a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source
195	-2.604	V. Ačienė sako, kad vyras neketino kelti savo kandidatūros Raseinių mero rinkimuose kitąmet, tačiau dar nebuvo apsisprendęs, ar nedalyvaus savivaldybių tarybų rinkimuose.	V. Ačienė says that her husband was not going to run for the Raseiniai mayor next year, but he has not decided yet on participation in the elections for the municipal councils.	V. Ačienė says that the man did not intend to stand as a candidate in the election of the mayor of Raseiniai next year, but had not yet decided whether he would participate in the elections of municipal councils.	0		
4	-2.484	Praėjusiame teismo posėdyje valstybės paskirtas naujasis Š. Gustainio advokatas Aleksandras Doroševas teisėjų kolegijai sakė dar nespėjęs susipažinti su bylos medžiaga.	In the previous hearing, Aleksandras Doroševas, the new state-appointed advocate of Š. Gustainis, said to the panel of judges that he had not read the case file in full yet.	At the last hearing, Alexander Doroshev, the state-appointed new lawyer for Š. Gustaini, told the panel of judges that he had not yet had access to the case-file.	0		
152	-2.178	"KT ne kartą yra nurodęs, kad teisės aktai netaikomi tiems įvykusiems teisiniams faktams ir padariniams, kurie atsirado iki naujai priimto teisės akto įsigaliojimo.	“The CC has indicated for a number of times that legal acts do not apply to those legal facts and consequences that occurred before the effective date of a newly adopted legal act.	"The CJ has stated on several occasions that the legislation does not apply to those legal facts and consequences that occurred before the entry into force of the newly adopted legislation.	0		
334	-1.925	Emigravusieji po nepriklausomybės atkūrimo 1990 metų kovo 11 dieną šiuo metu, išskyrus kai kurias išimtis, negali turėti dvigubos pilietybės.	Currently, save for certain exceptions, emigrants, who emigrated after the restoration of independence on 11 March 1990, cannot have a double citizenship.	Those who migrated after the restoration of independence on 11 March 1990 cannot currently have dual citizenship, with some exceptions.	0		
611	-1.822	Jo teigimu, skundų sulaukta, tačiau jų turinys esmės nekeičia, o patys pažeidimai nėra piktybinio pobūdžio.	According to him, complaints were made, but their content does not change the essence, and the violations themselves were not willful.	According to him, complaints were received, but their content does not change the substance and the violations themselves are not of a malignant nature.	0		
92	-1.739	Niekada nesižavėjau tais mažais, dekoratyviniais "fifų" keturkojais.	I have never had a crush on those little, ornamental doggies of silly blondes.	I never admired those small, decorative "fiffs" four-legged.	0		
576	-1.733	Netoliese taip pat driekiasi pagrindinis "Rail Baltica" terminalas, prognozuojama, kad apie 2026 m. jis aptarnaus 1 mln. keleivių per metus.	The main Rail Baltica terminal is also not far away, it is expected that in about 2026 it will serve 1 million passengers per year.	Nearby there is also the main Rail Baltica terminal, which is forecast to serve 1 million passengers per year around 2026.	0		
624	-1.706	Trumpas sako tikriausiai nesusitiks su Putinu Paryžiuje	Trump says most probably he won’t meet Putin in Paris	Short says probably won't meet Putin in Paris	0		
564	-1.542	"Nebuvo kito pasirinkimo, tik pašalinti jį iš rinkos, nepriklausomai nuo to, ar jam yra alternatyvų", - minėtam laikraščiui sakė F. Weber.	“There was no other choice but to remove it from the market, whether or not alternatives exist,” F. Weber told the said paper.	"There was no choice but to remove him from the market, regardless of whether there are alternatives to him," Mr Weber told the newspaper in question.	0		
483	-1.527	VRK partijoms paskirstys pinigus, bet socialdarbiečiams nieko neduos	CEC will distribute money to political parties but will not give anything to the Social Democratic Labor Party	HEC will distribute money to the parties, but will not give social workers anything	0		
