a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_ei_in_source
1422	-2.267	Luonnonmateriaalista valmistettu musta neule poolokauluksilla ei voi olla virhehankinta.	Black sweater with a turtleneck, made from natural materials can’t be a wrong purchase.	Black knitting made of natural material with polo collars cannot be a mistake.	0	possible error re: scope	1
1870	-2.071	Tuollaisessa tilanteessa ei sovi höntyillä.	You can't fuss around in a situation like that.	In such a situation, it is not appropriate to have mosquitoes.	1	figurative expression?	1
1169	-1.942	Suomen valtionjohdolle on kerrottu, ettei Airiston Helmen tutkinta liity tällä hetkellä kansalliseen turvallisuuteen, vaan järjestäytyneeseen rikollisuuteen, uutisoi Yle.	The Finnish state leadership has been told that Airiston Helmi investigation currently has nothing to do with national security, but organised crime, Yle reports.	The Finnish state leadership has been told that the Airiston Pearl investigation is not currently related to national security, but to organised crime, reports Yle.	0	ref and system use different forms	ettei
677	-1.695	Käsikirjoituksia popsahtelee mieleen jatkuvasti, mutta yleensä en tee valmista kerralla.	Scripts pop up in my mind all the time, but usually I never finish a comic at one go.	The manuscripts keep pop into my mind, but usually I don't make it ready at once.	1	error may be with verb	1
1339	-1.6	Pääkaupunki Tokio ei ole suoraan myrskyn reitillä, mutta myös sinne on luvassa kovia tuulia ja sateita.	The capital Tokyo is not directly on the path of the storm, but strong winds and rain have been promised there, too.	The capital, Tokyo, is not directly on the storm's route, but there will also be strong winds and rainfall.	0		1
1662	-1.544	Jos nyt lähdetään sille tielle, että lähtökohtaisesti Suomessa kaikki on kiellettyä, mitä ei erikseen ole sallittu, ei enää tiedä, itkeäkö vai nauraa.	If we now go down the road that leads to a Finland where everything is forbidden that is not separately permitted, I don’t know any more whether to laugh or cry.	If we now go down the road that, in principle, everything is forbidden in Finland, which is not expressly allowed, we no longer know whether we are crying or laughing.	0		1
720	-1.469	Eurooppa ei Rehnin mielestä näytä jauhautuvan kauppasodan jalkoihin.	Rehn does not think that Europe will be ground under the feet of a trade war.	In Rehn's view, Europe does not seem to be grinding to the feet of a trade war.	0	modifying different verbs in ref vs. system?	1
1037	-1.461	Hän sanoi, ettei hänellä ole kiirettä uuteen suhteeseen, vaan hän aikoo keskittyä itseensä.	She said she’s in no hurry to find a new relationship, but that she is going to focus on herself.	He said he was not in a hurry for a new relationship, but was going to focus on himself.	0		ettei
1738	-1.447	Osuma oli niin kova, että kotiyleisön edessä otellut konkari ei edes yrittänyt nousta ylös matosta.	The punch was so hard the veteran, who was fighting in front of a home crowd, didn’t even try to get up from the mat.	The hit was so hard that the blacksmith in front of the home crowd didn't even try to get up from the carpet.	0		1
230	-1.383	Näin keskustapuolue tyhjentää Vaalan asukkaista, sillä kuka jää sinne turvattomana asumaan vapaaehtoisesti, jos on mahdollisuus muuttaa pois.	This is how the Centre Party empties Vaala of residents, because who will voluntarily stay and live an insecure life there, if there is a possibility to move away?	In this way, the Centre Party will empty the inhabitants of Vaala, because who will stay there unsafe voluntarily if there is an opportunity to move away.	0	ref and system use different forms, but both with negative prefixes: insecure vs. unsafe	0
1836	-1.321	Harva tietää, että Love Island Suomi -sarjassa useiden miesten kuolaama kaunotar Anku esiintyy myös oudoilla vuonna 2010 julkaistuilla Youtube-videoilla askartelutätinä.	Not many know that the beauty Anku, drooled over by men in Love Island Finland show, also appears as a craft lady on odd YouTube videos published in 2010.	Few people know that Anku, the beauty killed by several men in the Love Island Finland series, also appears in strange Youtube videos released in 2010 as a hobby aunt.	0	ref and system use different forms  	0
937	-1.141	En ollut paikalla, mutta sen mitä kuvista näin, niin tilanne oli epämiellyttävä, Värtinen viittasi kentällä tapahtuneeseen rähinöintiin.	I was not present, but what I could see from the pictures, it was an unpleasant situation, Värtinen referred to the pushing and shoving on the field.	I was not here, but what I saw in the pictures was an unpleasant situation, Värtinen referred to the cracking on the ground.	0		1
1324	-1.087	Hän muistuttaa, että pelin seuraaminen itsessään ei ole niin vaikeaselkoista, vaikka ei ymmärtäisi kieltä, jolla sitä pelataan.	She reminds people that following the game is not so difficult to understand, even if one does not understand the language it is played in.	He points out that following the game itself is not so difficult to understand, even if you do not understand the language in which it is played.	0		1
1525	-1.082	Merelle ei nyt pidä mennä, lennot silti aikataulussaan - syysmyrskyn uhkaamilla Kreikan saarilla lomailee parhaillaan tuhansia suomalaisia	No going offshore, the flights still on schedule - there are currently thousands of Finns holidaying in the Greek islands threatened by an autumn gale.	We should not go to the sea now, but flights are still on schedule - thousands of Finns are currently holidaying on the Greek islands threatened by the autumn storm	0		1
1709	-1.078	Kreikassa useissa satamissa laivat eivät liikennöineet lauantaina, kertoi paikallinen uutistoimisto Amna.	Ships did not operate in many Greek harbours on Saturday, local news agency Amna reported.	In Greece, ships did not operate in several ports on Saturday, according to the local news agency Amna.	0		1
649	-1.053	Me kyselimme jo viime vuonna, miksi hän ei osallistu, mutta hän halusi tehdä sen kandin valmiiksi.	We kept asking already last year why she won’t participate, but she wanted to complete the Bachelor's.	We already asked last year why he was not taking part, but he wanted to finish it.	0		1
917	-1.001	Elokuun lopussa Meksiko ja Yhdysvallat pääsivät sopuun keskenään, mutta Kanadan kanssa sopua ei ole vielä syntynyt.	In the end of August, Mexico and the U.S. reached a bilateral understanding, but so far there has been no agreement with Canada.	At the end of August, Mexico and the United States reached an agreement, but no agreement has yet been reached with Canada.	0		1
1911	-0.896	Koska ongelma on selkeä, lakiperustan muuttamisen ei olisi pitänyt olla enempää kuin läpihuutojuttu.	Since the problem is an explicit one, changing the law basis should not have been anything more than an open-and-shut case.	Because the problem is clear, changing the legal basis should not have been more than a pass-through.	0		1
594	-0.744	En tiedä, mitä on tapahtunut hänelle ja lapselleni.	I don’t know what happened to her and my child.	I do not know what has happened to him and my child.	0		1
1083	-0.708	Järjestysmiehet eivät saaneet tilannetta rauhoittumaan vaan paikalle tarvittiin poliiseja ja myös ratsupoliiseja.	Security officers did not manage to calm the situation down, but police officers and also mounted police officers were needed.	The organisers were unable to calm the situation down and police officers and also cavalry officers were needed.	0		1
1095	-0.701	Mendiola ei kuitenkaan usko laitteensa massatuotantoon.	However, Mendiola does not believe in the mass manufacturing of his vehicle.	Mendiola, however, does not believe in mass production of its equipment.	0		1
1336	-0.647	NHK-yleisradioyhtiön mukaan ihmisiä on evakuoitu suojiin, ja sähköt ovat katkenneet yli 300 000 kotitaloudelta.	According to Japan Broadcasting Corporation people have been evacuated to shelters, and there are over 300,000 households without electricity.	According to the NHK broadcaster, people have been evacuated to shelters and more than 300,000 households have had their electricity cut off.	0		without
730	-0.604	Ei ehkä kannata maalata vielä uusia kriisejä, Rehn vastasi, kun häneltä kysyttiin, viekö Italia Euroopan uuteen talouskriisiin.	Maybe we should not yet be imagining new crises, Rehn replied when inquired whether Italy is leading Europe to a new economic crisis.	It may not be worth painting yet more crises, Rehn replied when asked whether Italy would take Europe into a new economic crisis.	0		1
1003	-0.476	Henkiset vammat eivät tilastoihin päädy.	The mental injuries are not included in the statistics.	Mental injuries do not end up in the statistics.	0		1
1585	-0.455	On kyse sitten farkusta, pitsistä, tyllistä tai trikoosta, saappaiden simppeli nahka- tai tekonahkapinta toimii.	No matter whether it's denim, lace, tulle or tricot, the boots’ simple leather or fake leather surface works.	Whether it's jeans, lace, stylish or tricot, the simple leather or artificial leather surface of the boots works.	0	meaning is fine; ref has phrase "no matter"	0
1971	-0.448	Sopimuksen mukaan Musk ei saa toimia Teslan hallituksen puheenjohtajana kolmeen vuoteen.	According to the deal, Musk is not allowed to act as Tesla chairman of the board for three years.	Under the agreement, Musk will not be allowed to chair Tesla's board for three years.	0		1
317	-0.445	Mikäli vaasalaisia olisi ollut yksi vähemmän, ottelua ei olisi voitu aloittaa.	If there were one player less from Vaasa, the match could not have begun.	If there had been one less Vaasa, the match could not have started.	0		1
1663	-0.396	En epäile, etteikö eläinsuojelulaki vaatisi päivitystä.	I don't doubt that the Animal Welfare Act needs an update.	I have no doubt that the Animal Welfare Act requires an update.	0		1
227	-0.358	Nimittäin terveyskeskuksen laitospaikat lopetetaan siksi, ettei siellä ole lääkärin yöpäivystystä.	The institutional care ward at the health centre is closed down because it has no doctor’s night emergency duty.	Namely, the health centre's facilities are being closed because there is no doctor's night call.	0		ettei
1708	-0.293	Iltaan mennessä myöskään ulkoministeriö ei ollut saanut viestejä hädässä olevista suomalaisista.	By the evening the Ministry for Foreign Affairs had received no messages from Finns in distress.	By the evening, the Ministry of Foreign Affairs had not received any messages about Finns in need either.	0		1
1660	-0.283	Muutos aiheuttaa sen, ettei mitään uutta voi kokeilla esimerkiksi yritystoiminnassa eikä tehdä mitään muutakaan ennen kuin sen hyväksyvä laki tai asetus on annettu.	The change will result in a situation where nothing new can be tried in for example business, and no other things can be done before an approving act has been adopted or a decree issued.	The change means that nothing new can be tried in business, for example, and nothing else can be done until the law or regulation adopting it has been adopted.	0		ettei; eikä
1813	-0.268	Koviksen rooli ei pidemmän päälle ole cool: korkea status teini-iässä ei välttämättä johda menestykseen myöhemmin elämässä.	Tough role is not cool in the long run: high status during teenage years does not necessarily lead to success later in life.	Kovis's role is not cool in the long run: high status in teens does not necessarily lead to success later in life.	0		1
1664	-0.255	Mutta tämänsuuntainen lakihanke ei kuulu demokratiaan.	But statute drafting in this direction is not a part of democracy.	But a bill along these lines is not part of democracy.	0		1
1627	-0.251	Poliisin mukaan valvonnan aikana tarkastettiin 112 metsästäjää, ja valvonnan yhteydessä tavattiin vain yksi metsästäjä, jolta puuttui vaadittava metsästyslupa.	According to the police, 112 hunters were checked during the supervision, and only on hunter without a requisite hunting permit was found.	According to the police, 112 hunters were inspected during the surveillance and only one hunter was found who lacked the required hunting licence.	0	ref and system use different forms - "without" vs. "lacked"	without
1755	-0.243	Toistaiseksi kaikki uhrit ovat Palusta, Donggalan tilanteesta ei ole vielä selvyyttä.	So far all the victims are from Palu, there is no certainty of Donggala situation.	So far, all the victims are from Palu, the situation in Donggala is not yet clear.	0		1
1674	-0.228	Ei väliä onko se harmaa-, ruskea- tai monisävyinen, kaikki ruutukuosilliset hameet kuuluvat nyt jokaisen naisen must have -syysvaatteisiin.	No matter whether its grey, brown or multicoloured, all check skirts are now part of every woman’s must have autumn clothes.	No matter whether it's grey, brown or multi-tone, all screen-patterned skirts are now part of every woman's must-have autumn clothes.	0		1
1402	-0.216	O'Donnellin uudesta seurasta ei ole vielä tietoa.	There is no information yet about O’Donnell’s new team.	O'Donnell's new club is not yet known.	0		1
746	-0.214	Illan aikana lavalla esiintyvät toimittajat ja kuvaajat kertovat pitkään valmistelemansa tositarinan, jota ei ole aiemmin julkaistu missään HS:n välineessä.	During the evening, the journalists and photographers on stage share a true story they have been preparing for a long time, and which has never been published in any HS medium.	Journalists and photographers appearing on stage during the evening will tell a true story they have long prepared, which has not previously been published on any HS medium.	0		1
1952	-0.174	Edelleen on paikkoja, joihin yhteydet eivät toimi.	There are still places, where communications do not work.	There are still places where connections are not working.	0		1
